Run 2: Measure="+1 for each location cleaned in time"
Sequence=2
t=1 Percept=[A, Dirty] Action=Vacuum StepReward=+1 Score=+1
t=2 Percept=[B, Dirty] Action=Vacuum StepReward=+1 Score=+2
t=3 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=4 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=5 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=6 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=7 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=8 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=9 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=10 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=11 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=12 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=13 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=14 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=15 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=16 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=17 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=18 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=19 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=20 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=21 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=22 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=23 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=24 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=25 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=26 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=27 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=28 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=29 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=30 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=31 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=32 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=33 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=34 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=35 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=36 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=37 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=38 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=39 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=40 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=41 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=42 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=43 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=44 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=45 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=46 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=47 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=48 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=49 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=50 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=51 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=52 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=53 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=54 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=55 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=56 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=57 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=58 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=59 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=60 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=61 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=62 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=63 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=64 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
t=65 Percept=[A, Clean] Action=Right StepReward=+0 Score=+2
t=66 Percept=[B, Clean] Action=Left StepReward=+0 Score=+2
